Regiune,Superior,Liceal,Gimnazial,Primar,FaraScoala,PersoaneAnalfabete
Bucuresti-Ilfov,495664.8813397654,451041.2658996973,238476.6767473156,103752.65431422261,14428.771564308467,3811.7315706007003
Centru,55076.63076341203,99053.03369211551,98637.09921446773,45568.63743893793,10697.485234140362,4467.060942009
Nord-Est,55683.33560686151,100771.50563003622,156945.28335431256,88083.9610860203,17177.796366359045,7177.868722580868
Nord-Vest,67488.5070147424,115096.03466207562,119484.39492095348,53428.23494583147,13149.142179032036,4272.962359334062
Sud,59842.055888002105,123857.6012476221,128007.77564133408,75683.47024239873,14532.468339152892,7049.627898274114
Sud-Est,54232.5237658459,100263.64954550532,122962.79744496148,66359.75337134737,15030.752529967629,7064.777597725143
Sud-Vest,51168.607905275465,107172.38556277905,106473.64230283914,66367.82700625657,13348.345703056,5674.062010002183
Vest,73250.81395123925,118129.76734990036,124128.36077328009,53268.606535058876,10161.11301427272,4293.493650231563
